customer_id,full_name,email,gender,date_of_birth,city,region,signup_date,acquisition_channel,preferred_device,email_subscribed,loyalty_tier,annual_income_ghs,household_size
CUST015815,Esi Ofori,not.an.email,MALE,1992-09-22,Accra,Greater Accra,2026-04-11,Direct,,True,Bronze,,3
CUST017243,Chidi Asante,chidi.asante67@outlook.com, Male,2001-04-02,Accra,Greater Accra,2025-12-24,,Android,True,Bronze,9423.06,3
CUST006272,Comfort Lartey,comfort.lartey819@gmail.com,Male,1995-07-02,Tamale,Northern,01/08/2025,Paid Social,Android,Y,Silver,,4
CUST006889,Grace Lartey,grace.lartey740@yahoo.com,FEMALE,1998-03-11,Accra,Greater Accra,2025-03-17,Paid Social,Web Mobile,True,Silver,11399.78,5
CUST019470,Kofi Nyarko,kofi.nyarko481@gmail.com,Male,2006-11-21,Ho,Volta,2026-06-13,Marketplace,Web Mobile,True,Silver,,1
CUST005550,Gifty Tetteh,gifty.tetteh879@yahoo.com,Male,1993-12-22,Kumasi,Ashanti,2023-01-26,Paid Social,Android,True,Bronze,14756.63,4
CUST010535,Fiifi Baidoo,fiifi.baidoo927@gmail.com,Male,1986-11-23,Accra,Greater Accra,05/12/2023,Influencer,Web Desktop,True,Silver,"GHS 39,512.36",3
CUST014728,Grace Abubakar,GRACE.ABUBAKAR874@GMAIL.COM,Female,1996-11-05,Accra,Greater Accra,2025-09-22,Influencer,Android,Y,Platinum,"GHS 19,326.30",4
CUST018990,Joseph Tetteh,joseph.tetteh873@gmail.com,Male,"July 05, 1970",Ho,Volta,2025-12-06,Influencer,Web Desktop,Y,Bronze,"GHS 4,337.64",2
CUST900171, Selorm Ofori ,SELORM.OFORI280@GMAIL.COM,Male,,Kumasi,Ashanti,2026-01-14,Paid Social,Web Desktop,,Platinum,11676.26,5
CUST008395,DZIFA OWUSU,dzifa.owusu119@gmail.com,Female,1996-01-14,Accra,Greater Accra,2025-03-24,Organic Search,Web Mobile,True,Silver,12428.43,3
CUST002146,Esi Sulemana,esi.sulemana606@gmail.com,Male,"August 10, 1981",Kumasi,Ashanti,2025-01-11,Referral,iOS,,Bronze,7038.09,1
CUST014885,Elizabeth Tetteh,elizabeth.tetteh695@gmail.com,Male,2003-09-08,KOFORIDUA,Eastern,2026-06-15,Direct,Android,True,Platinum,27594.91,2
CUST900296, Mary Amoah ,MARY.AMOAH48@GMAIL.COM,Other,2002-11-14,Tamale,Northern,2025-12-06,Organic Search,Android,False,Silver,,5
CUST017883,Afia Tetteh,afia.tetteh71@hotmail.com,Female,1980-01-25,Kumasi,Ashanti,2023-05-26,Paid Social,Android,True,Silver,51702.19,5
CUST012302,Elizabeth Boateng,elizabeth.boateng762@yahoo.com,Female,2006-07-04, Accra ,Greater Accra,08/11/2023,Organic Search,Android,yes,Gold,,2
CUST005961,Ibrahim Darko,ibrahim.darko480@gmail.com,Female,2007-12-12,Accra,Greater Accra,22/11/2025,Influencer,Web Mobile,True,Silver,,4
CUST019686,PRISCILLA YEBOAH,priscilla.yeboah624@outlook.com,female,1974-11-03,Accra,Greater Accra,2026-02-08,Direct,Android,False,Gold,26309.45,10
CUST019051,Nana Yeboah,nana.yeboah466@yahoo.com,Female ,1996-01-16,Tema,Greater Accra,2025-02-14,Organic Search,Android,yes,Bronze,-1,2
CUST019234,Arinze Boateng,arinze.boateng155@gmail.com,Male,2000-12-20,Koforidua,Eastern,2026-06-07,Email Campaign,Android,True,Bronze,17945.25,2
CUST017895,Grace Nyarko,grace.nyarko125@outlook.com,Female,1992-04-05,Tema,Greater Accra,2025-02-12,Direct,Web Mobile,True,Bronze,11509.09,3
CUST018267,Adjoa Danso,adjoa.danso184@gmail.com,Male,2001-09-03,Tamale,Northern,2025-09-28,Organic Search,Web Mobile,,Silver,,4
CUST000937,Kelvin Owusu,kelvin.owusu525@gmail.com,Female,01/03/2000,Kumasi,Ashanti,2023-12-27,Referral,Web Desktop,False,Bronze,"GHS 31,336.70",4
CUST010303,Akosua Owusu,akosua.owusu875@hotmail.com,Male,2004-11-06,Accra,Greater Accra,2022-12-23,Paid Social,Android,FALSE,Bronze,20099.5,4
CUST010334,Adwoa Owusu,ADWOA.OWUSU641@YAHOO.COM,Female,1992-03-12,Tamale,Northern,2025-12-08,Email Campaign,Web Mobile,False,Gold,"GHS 5,168.82",5
CUST012815,Comfort Abubakar,comfort.abubakar136@yahoo.com,Female,1993-09-21,TAKORADI,Western,22/11/2025,Influencer,Android,True,Bronze,12477.29,1
CUST011812,Isaac Agyeman,isaac.agyeman971@gmail.com,Male,1983-10-21,Accra,Greater Accra,2022-09-14,Marketplace,Android,False,Platinum,14564.02,2
CUST004394,Afia Annan,afia.annan20@outlook.com,,1994-03-16,Accra,Greater Accra,2025-12-11,,Web Mobile,False,Bronze,4294.58,5
CUST005747,Kwame Abubakar,kwame.abubakar98@gmail.com,Female ,1977-10-04,Accra,Greater Accra,2025-05-12,Influencer,Android,True,Bronze,18078.93,4
CUST006441,joseph lartey,joseph.lartey211@gmail.com,Male,2000-08-14,Tamale,Northern,"March 23, 2024",,iOS,True,Bronze,9917.6,5
CUST900024, Isaac Yeboah ,ISAAC.YEBOAH905@YAHOO.COM,Female,2002-03-27,Accra,Greater Accra,2024-01-31,Referral,iOS,N,Bronze,18892.11,2
CUST018779,adwoa agyeman,adwoa.agyeman567@gmail.com,Female,2009-07-08,Kumasi,Ashanti,2022-11-18,Organic Search,Android,False,Bronze,"GHS 35,546.35",3
CUST013508,Chidi Osei,chidi.osei59@yahoo.com,Male,1993-06-29,Sunyani,Bono,"February 18, 2024",Paid Social,Android,False,Bronze,6528.12,2
CUST001298,Esi Agyeman,esi.agyeman59@gmail.com,Male,1998-03-11,Sunyani,Bono,2026-04-14,,Android,0,Silver,27788.56,6
CUST005815,Isaac Quartey,isaac.quartey752@gmail.com,Female,,Accra,Greater Accra,2026-02-17,Organic Search,Android,False,Bronze,23456.03,1
CUST003201,  Joseph Baidoo,joseph.baidoo417@outlook.com,Male,2001-06-07,Kumasi,Ashanti,2025-06-11,Paid Social,Android,True,Silver,15732.63,1
CUST011680,Yayra Amoah,yayra.amoah195@yahoo.com,Female,,Kumasi,Ashanti,2024-10-28,Direct,Android,True,,26158.1,2
CUST017233,Abena Dogbe,abena.dogbe139@gmail.com,Male,1983-10-23,Tamale,Northern,2025-05-20,Direct,iOS,True,Silver,4917.85,2
CUST010824,Afia Annan,afia.annan834@gmail.com,Female,1993-01-22,Takoradi,Western,2026-04-07,Paid Social,Web Mobile,False,Bronze,27084.8,1
CUST009724,Akosua Mensah,akosua.mensah600@gmail.com,Female,07/08/2002,Kumasi,Ashanti,2025-11-09,Referral,Android,N,Gold,16946.1,4
CUST002993,Samuel Appiah,samuel.appiah328@gmail.com,Female,1993-03-17,Techiman,Bono East,2025-02-26,Referral,Web Desktop,True,Bronze,41963.53,2
CUST006960,Kelvin Annan,kelvin.annan663@gmail.com,Female,2004-05-25,ACCRA,Greater Accra,2025-02-01,Influencer,Web Mobile,no,,7459.37,3
CUST002421,Kwabena Yeboah,kwabena.yeboah243@gmail.com,Female,14/07/1997,Tema,Greater Accra,22/06/2026,Organic Search,Android,True,Bronze,9533.09,4
CUST017121,Kwaku Nkrumah,kwaku.nkrumah597@yahoo.com,Female,2027-05-10,Madina,Greater Accra,2023-12-25,Referral,Android,False,Bronze,5225.47,5
CUST003462,Grace Adjei,grace.adjei777@yahoo.com,Male,1995-10-17,Accra,Greater Accra,2025-01-17,,Web Desktop,True,Bronze,15064.17,3
CUST016718,Dzifa Annan,dzifa.annan951@gmail.com,Male,1991-05-26,Kumasi,Ashanti,2026-06-01,Paid Social,Android,True,Platinum,12821.83,2
CUST006003,Grace Osei,grace.osei726@gmail.com,Male,2007-01-12,Accra,Greater Accra,16/05/2023,Email Campaign,Android,True,Bronze,"GHS 15,260.54",1
CUST001531,JOSEPH OFORI,joseph.ofori174@yahoo.com,Male,1989-09-04,CAPE COAST,Central,2025-05-09,Paid Social,Android,True,Silver,"GHS 11,466.48",3
CUST017692,Grace Nkrumah,grace.nkrumah294@gmail.com,female,1996-09-21,Kumasi,,2025-07-20,Organic Search,iOS,False,Bronze,17539.37,1
CUST011605,Gifty Tetteh,gifty.tetteh313@yahoo.com,,2009-03-28,Sunyani,Bono,2026-02-27,Organic Search,Android,False,Bronze,-1,1
CUST018371,Kwaku Nyarko,kwaku.nyarko201@yahoo.com,Female,1986-01-14,Kumasi,Ashanti,2025-09-23,Organic Search,Android,Y,Bronze,"GHS 15,735.03",4
CUST004837,Esi Tetteh,esi.tetteh796@hotmail.com,Male,1991-09-10,Takoradi,Western,2026-04-12,Email Campaign,iOS,False,Bronze,"GHS 11,894.98",3
CUST010232,Arinze Dogbe,arinze.dogbe334@gmail.com,MALE,1993-09-24,KOFORIDUA,Eastern,,,Web Desktop,True,Bronze,"GHS 8,513.26",2
CUST010866,Adjoa Alhassan,adjoa.alhassan184@yahoo.com,Male,19/07/1997, Koforidua ,Eastern,2024-02-11,Influencer,Android,False,Bronze,5657.12,4
CUST005218,Kwabena Baidoo,kwabena.baidoo301@gmail.com,Female,2009-11-21,?,Ashanti,2024-01-09,Referral,Android,False,Silver,9001.77,3
CUST004942,Kwame Osei,kwame.osei825@hotmail.com,F,2000-06-06,Ho,Volta,2026-05-10,Influencer,iOS,False,Bronze,"GHS 7,539.86",4
CUST018899,Elizabeth Dogbe,elizabeth.dogbe20@gmail.com,Male,1990-01-29,Accra,Greater Accra,2026-06-12,Marketplace,Android,FALSE,Bronze,5594.94,6
CUST014837,Mary Agyeman,mary.agyeman456@gmail.com,Male,1983-12-30,Koforidua,Eastern,2022-10-20,Email Campaign,Web Mobile,1,Silver,0,5
CUST011803,Kofi Dogbe,kofi.dogbe381@gmail.com,MALE,2004-04-26,Accra,Greater Accra,2026-04-17,Organic Search,Web Mobile,True,Bronze,9658.68,1
CUST005888,Mary Nkrumah,mary.nkrumah310@gmail.com,Male,2000-06-07,Ho,Volta,12/02/2023,Direct,iOS,yes,Gold,8071.78,7
CUST002481,Esi Lartey,esi.lartey371@gmail.com,female,,Accra,Greater Accra,2024-01-29,Direct,Web Desktop,False,Platinum,"GHS 10,017.83",
CUST006098,Comfort Tetteh,comfort.tetteh216@gmail.com,Other,2001-08-27,Accra,,11/06/2024,Email Campaign,Android,FALSE,Silver,25175.95,3
CUST000813,Sena Frimpong,sena.frimpong649@gmail.com,Female,1985-07-03,Tamale,Northern,09/04/2025,Organic Search,Android,True,Bronze,"GHS 17,370.80",4
CUST014564,EMMANUEL BOATENG,emmanuel.boateng628@gmail.com,Female,1989-03-25,Tamale,Northern,2025-07-11,Organic Search,,True,Bronze,12983.85,2
CUST017297,Ibrahim Nyarko,ibrahim.nyarko944@gmail.com,Male,1997-09-17,Accra,Greater Accra,2025-12-11,Direct,Web Mobile,False,Silver,"GHS 8,489.15",3
CUST001730,Kwame Alhassan,kwame.alhassan468@gmail.com,Female,03/12/1997,Tamale,Northern,11/06/2026,Organic Search,iOS,True,,"GHS 7,314.13",6
CUST018797,Ngozi Dogbe,ngozi.dogbe468@gmail.com,Male,"November 18, 2003",Cape Coast,Central,2022-10-29,Organic Search,Android,True,Bronze,"GHS 16,311.50",4
CUST007160,Gifty Appiah,gifty.appiah123@gmail.com,Male,2009-09-25, Accra ,Greater Accra,02/02/2025,Influencer,Android,yes,Silver,"GHS 14,173.96",4
CUST012443,Kofi Sulemana,kofi.sulemana2@gmail.com,Female,1999-02-11,Kumasi,Ashanti,2024-07-05,Direct,Android,False,Bronze,6935.16,3
CUST017982,Kwabena Amoah,,Male,2004-03-03,,Volta,21/03/2026,Direct,Android,,Silver,14222.43,1
CUST016097,Abdul Abubakar,abdul.abubakar8@gmail.com,F,1983-07-18,Kumasi,Ashanti,2026-05-18,Influencer,Web Desktop,N,Gold,12571.45,3
CUST008399,Yayra Abubakar,yayra.abubakar395@outlook.com,Female,1997-01-04,Takoradi,Western,2022-09-04,Direct,Android,False,Platinum,"GHS 26,849.42",8
CUST014903,Fatima Frimpong,fatima.frimpong270@gmail.com,Female,12/09/2005,Tamale,,13/09/2023,Organic Search,iOS,no,Silver,13756.26,
CUST010870,Yaw Ofori,YAW.OFORI261@GMAIL.COM,female,2002-01-17,Tamale,Northern,2025-03-15,Email Campaign,Android,False,Bronze,,3
CUST013120,Afia Ahiable,afia.ahiable326@yahoo.com,Male,1993-06-10,Tamale,Northern,2025-04-21,Referral,Web Desktop,True,Bronze,"GHS 23,183.53",4
CUST012437,Grace Appiah,grace.appiah697@gmail.com,Male,1986-08-20,Madina,Greater Accra,2022-09-21,Paid Social,Web Desktop,N,Bronze,,7
CUST007627,Zainab Alhassan,zainab.alhassan853@gmail.com,,,Tema,Greater Accra,2026-04-08,Direct,Android,False,Bronze,"GHS 15,379.99",5
CUST005573,fiifi appiah,fiifi.appiah925@yahoo.com,Female,1989-02-16,,Greater Accra,2023-06-02,Referral,Web Mobile,True,Bronze,15241.58,0
CUST014422,Chidi Abubakar,chidi.abubakar144@gmail.com,Male,1982-06-19,Accra,Greater Accra,,Paid Social,iOS,N,Bronze,20999.01,4
CUST007874,Comfort Quartey,comfort.quartey248@gmail.com,Male,2009-11-30,Kumasi,Ashanti,2026-01-07,Organic Search,Android,False,Bronze,"GHS 20,881.88",3
CUST002880,Ama Darko,ama.darko965@yahoo.com,Female,,Kumasi,Ashanti,15/01/2026,Direct,Web Mobile,True,Bronze,23048.87,4
CUST008124,Kwame Dogbe,kwame.dogbe358@yahoo.com,Male,1986-11-25,Accra,Greater Accra,2024-06-05,Paid Social,Android,False,Bronze,"GHS 9,459.76",1
CUST014004,Ngozi Adjei,ngozi.adjei164@gmail.com,Male,1987-01-13,Kumasi,Ashanti,2023-09-01,Marketplace,Web Desktop,,Bronze,22821.34,3
CUST012861,Ama Boateng,ama.boateng307@gmail.com,Male,2003-04-29,Accra,Greater Accra,2025-06-03,Email Campaign,Android,False,Silver,20146.28,
CUST011643,Abena Frimpong,ABENA.FRIMPONG985@GMAIL.COM,Male,1990-04-05,Accra,Greater Accra,2022-12-14,Direct,iOS,True,,27037.73,5
CUST001979,Grace Annan,grace.annan412@gmail.com,Male,2010-04-12,Accra,Greater Accra,2024-03-08,Organic Search,Web Mobile,True,Bronze,6666.11,2
CUST007758,Arinze Danso,arinze.danso837@gmail.com,Female,13/12/1986,Kumasi,Ashanti,2025-07-28,Marketplace,Web Desktop,False,Silver,,3
CUST014527,  Daniel Baidoo,DANIEL.BAIDOO25@GMAIL.COM,female,1998-07-11,Ho,Volta,2024-08-01,Referral,iOS,True,Gold,11812.21,1
CUST002324,Fiifi Frimpong,fiifi.frimpong863@yahoo.com,Female,1983-09-28, Kumasi ,Ashanti,,,Android,True,Silver,16490.68,5
CUST019388,Michael Asante,michael.asante679@outlook.com,Female,1996-01-17,Takoradi,Western,2023-01-31,Referral,Web Mobile,True,Silver,18652.34,7
CUST012788,Gifty Boateng,gifty.boateng2@gmail.com,Male,1990-10-03,Tema,Greater Accra,2024-09-05,Referral,Web Mobile,Y,Bronze,,6
CUST005408,AFIA BOATENG,afia.boateng122@gmail.com,Female,1983-05-09,ACCRA,Greater Accra,23/07/2025,Organic Search,Android,True,Bronze,25264.0,6
CUST005702,Adjoa Annan,adjoa.annan205@outlook.com,Male,2001-08-01,Tem a,Greater Accra,2024-09-07,Organic Search,iOS,True,Gold,"GHS 4,651.72",5
CUST005349,Fatima Agyeman,fatima.agyeman610@gmail.com,Female,1982-07-05,Kumasi,Ashanti,2025-09-25,Organic Search,Android,True,Silver,58412.08,4
CUST000342,Kofi Sulemana,kofi.sulemana47@gmail.com,F,1988-09-10,Takoradi,Western,2025-12-24,Email Campaign,Android,True,Gold,-999,5
CUST006905,Arinze Nyarko,arinze.nyarko454@gmail.com,Female,2003-01-05,,Central,2025-03-23,Paid Social,Android,False,Platinum,22155.54,2
CUST015002,Akosua Agyeman,AKOSUA.AGYEMAN984@OUTLOOK.COM,FEMALE,2001-07-08,accra,Greater Accra,27/02/2026,Paid Social,Web Desktop,True,,,1
CUST017188,Adwoa Adjei,adwoa.adjei227@gmail.com,Male,2004-02-15,Koforidua,Eastern,2025-08-22,Organic Search,iOS,TRUE,,13159.3,6
CUST017307,Arinze Nkrumah,arinze.nkrumah618@gmail.com,MALE,2009-08-27,Accra,Greater Accra,2024-03-04,Influencer,Android,1,Bronze,10968.75,4
CUST010727,Ngozi Amoah,ngozi.amoah240@gmail.com,male,1994-05-18,Ho,Volta,2023-03-13,Email Campaign,iOS,False,Bronze,36543.33,3
CUST009287,Comfort Alhassan  ,comfort.alhassan606@gmail.com,Male,1996-11-09,null,Upper East,2025-12-10,Referral,Android,1,Bronze,17256.56,1
CUST010248,Daniel Nkrumah,daniel.nkrumah482@yahoo.com,Male,2000-08-30,Accra,Greater Accra,2026-04-21,Paid Social,Android,False,Platinum,17302.84,2
CUST019637,Ngozi Agyeman,ngozi.agyeman951@outlook.com,Female,1985-02-08,Tamale,Northern,"May 18, 2026",Direct,,True,Silver,19013.18,5
CUST013475,Joseph Mensah,joseph.mensah424@gmail.com,Female,19/08/1998,Ho,Volta,2023-05-30,Organic Search,Web Mobile,False,,6625.97,3
CUST014710,Chidi Danso,chidi.danso686@outlook.com,Female,2001-11-02,Takoradi,Western,2024-03-04,Referral,Android,False,Silver,17950.09,2
CUST004337,Arinze Adjei,arinze.adjei48@gmail.com,Female,1988-09-22,?,Western,2026-04-01,Organic Search,Web Mobile,True,Bronze,17493.29,3
CUST009943,Emmanuel Amoah,emmanuel.amoah372@gmail.com, Male,22/03/2009,Bolgatanga,Upper East,2026-06-03,Organic Search,Web Mobile,True,Silver,"GHS 13,205.52",5
CUST010034,Samuel Agyeman,samuel.agyeman733@gmail.com, Male,1990-10-16,Bolgatanga,Upper East,15/04/2025,Organic Search,Android,1,Gold,"GHS 9,125.84",1
CUST003777,Arinze Darko,arinze.darko49@gmail.com,Female,12/09/2003,Takoradi,Western,2025-10-14,Paid Social,Android,TRUE,Gold,"GHS 15,011.65",2
CUST014105,Daniel Dogbe  ,daniel.dogbe478@gmail.com,Female,,Accra,Greater Accra,,Organic Search,Android,False,Bronze,11512.99,1
CUST015894,Abena Dogbe,abena.dogbe211@hotmail.com,Female,2004-08-05,Ho,Volta,2024-02-08,Paid Social,Android,True,Bronze,"GHS 19,305.81",5
CUST016712,Comfort Ahiable,comfort.ahiable409@gmail.com,Female,2006-07-27,Accra,Greater Accra,2026-01-28,Organic Search,iOS,True,Bronze,6987.06,6
CUST001633,Elizabeth Alhassan,elizabeth.alhassan256@gmail.com,Male,1988-11-29,Koforidua,Eastern,"December 10, 2024",Organic Search,Web Desktop,False,Bronze,16987.64,4
CUST003474,Kwame Annan,kwame.annan528@gmail.com,Female,"January 28, 1996",Kumasi,,2024-04-29,,Android,,Silver,15675.64,4
CUST008986,Selorm Frimpong,SELORM.FRIMPONG644@OUTLOOK.COM,Male,,Kumasi,Ashanti,2024-04-21,,iOS,,,,3
CUST016263,Grace Mensah,grace.mensah490@outlook.com,Female,,Ho,Volta,20/04/2025,,Web Mobile,True,Bronze,"GHS 12,258.00",4
CUST004829,Adwoa Quartey,adwoa.quartey939@gmail.com,Prefer not to say,2004-10-20,Obuasi,Ashanti,2025-09-28,Influencer,Web Mobile,False,Bronze,"GHS 5,458.21",2
CUST003025,Kwaku Ahiable,kwaku.ahiable304@gmail.com,Female,1991-12-11, Accra ,Greater Accra,2024-12-05,Direct,Web Mobile,TRUE,Bronze,,8
CUST016446,Dzifa Tetteh,dzifa.tetteh934@outlook.com,male,1998-01-05,Bolgatanga,Upper East,20/06/2023,Direct,Android,True,Bronze,15796.66,3
CUST012312,Fiifi Frimpong,fiifi.frimpong155@yahoo.com,Male,"January 21, 1982",Accra,Greater Accra,2025-02-14,Email Campaign,Web Desktop,True,Bronze,6547.11,3
CUST005048,Priscilla Boateng,priscilla.boateng195@hotmail.com,Male,1997-01-01,Koforidua,Eastern,2026-05-10,Influencer,Web Mobile,True,Bronze,"GHS 15,265.86",3
CUST018822,Priscilla Darko,priscilla.darko201@gmail.com,Male,31/10/1991,Accra,Greater Accra,2026-05-01,Organic Search,Android,True,Gold,21065.68,4
CUST018668,Gifty Ahiable,gifty.ahiable128@gmail.com,Female,2003-01-23,,Eastern,2023-06-10,Paid Social,,True,Bronze,15725.31,3
CUST016657,Kwame Ofori,kwame.ofori81@outlook.com,Male,1992-01-11, Accra ,Greater Accra,2024-07-28,,Android,TRUE,Bronze,,9
CUST012496,Mary Nkrumah,mary.nkrumah1@yahoo.com,Male,2007-07-31,Kumasi,Ashanti,27/08/2025,Referral,Android,False,,12783.54,2
CUST015371,Akosua Dogbe,akosua.dogbe16@yahoo.com,Female,2004-07-08,Cape Coast,Central,2025-05-09,Direct,Web Mobile,TRUE,Platinum,20148.42,2
CUST019549,Ngozi Abubakar,ngozi.abubakar72@gmail.com,Female,1997-12-11,TAKORADI,Western,2025-04-11,,Android,yes,,11043.27,
CUST011073,Kofi Lartey,kofi.lartey124@yahoo.com,Female,09/08/1994,Accra,Greater Accra,2026-02-27,Marketplace,Android,FALSE,Gold,15251.68,7
CUST019329,DZIFA YEBOAH,dzifa.yeboah331@yahoo.com,Male,1990-09-14,,Greater Accra,2023-08-24,,Web Mobile,False,Silver,0,4
CUST003355,Michael Baidoo,michael.baidoo54@gmail.com,Female,1993-04-11,Takoradi,Western,2025-08-19,Direct,iOS,TRUE,Bronze,37717.67,5
CUST005672,ZAINAB NYARKO,zainab.nyarko841@yahoo.com,Male,1996-03-01,Tamale,Northern,2023-08-10,Paid Social,Web Mobile,True,Bronze,12472.47,2
CUST008828,Fatima Ofori,fatima.ofori134@gmail.com,Female,1983-01-17,Accra,Greater Accra,2025-10-28,N/A,Android,True,Bronze,22315.47,1
CUST900074, Afia Dogbe ,AFIA.DOGBE606@GMAIL.COM,Male,2002-09-23,Koforidua,Eastern,2025-08-12,,Android,False,Silver,31654.48,1
CUST005140,Kwabena Tetteh,kwabena.tetteh499@gmail.com,male,1989-09-30,Techiman,Bono East,2023-09-04,Organic Search,Android,True,Bronze,34343.07,8
CUST012724,Kelvin Dogbe,kelvin.dogbe822@gmail.com,,,Accra,Greater Accra,10/01/2025,Influencer,iOS,False,Bronze,15891.35,1
CUST010511,Patience Owusu,patience.owusu445@gmail.com,Female,"November 27, 1991",Sunyani,Bono,2024-07-16,Paid Social,Android,False,Bronze,16002.55,3
CUST009536,Fatima Quartey,fatima.quartey776@gmail.com,Male,2002-07-06,accra,Greater Accra,07/12/2023,unknown,Web Desktop,True,Gold,9075.62,5
CUST017632,Ngozi Nkrumah,NGOZI.NKRUMAH191@OUTLOOK.COM,,2010-05-11,Techiman,Bono East,05/01/2026,Direct,Android,,Bronze,"GHS 5,009.84",4
CUST001912,Zainab Abubakar,zainab.abubakar387@gmail.com,Male,1993-03-08,accra,Greater Accra,2025-04-17,Direct,Web Mobile,True,Platinum,,3
CUST017358,Afia Danso,afia.danso603@gmail.com,female,,Tema,Greater Accra,2023-06-04,Influencer,Web Desktop,False,Bronze,"GHS 11,632.69",2
CUST002579,Ama Lartey,ama.lartey863@yahoo.com,Male,"April 19, 2005",Tema,Greater Accra,2025-03-04,Paid Social,Android,True,,19521.12,2
CUST009479,Isaac Nyarko,ISAAC.NYARKO126@GMAIL.COM,Male,1995-03-21,,Central,2025-11-21,N/A,Android,,Silver,4022.96,4
CUST005049,Abena Adjei,abena.adjei756@gmail.com,Male,2008-03-09,Accra,Greater Accra,14/10/2025,Organic Search,Android,True,Bronze,35944.78,7
CUST008874,Yayra Boateng,missing@,Female,1996-12-23,Kumasi,Ashanti,16/01/2023,Paid Social,Android,False,Silver,"GHS 21,090.53",3
CUST019481,Gifty Amoah,gifty.amoah478@yahoo.com,Female,1985-06-15,Acrra,Greater Accra,2025-11-26,Paid Social,Android,True,Bronze,23284.95,2
CUST006134,Sena Alhassan,sena.alhassan966@gmail.com,Male,2000-08-27,Techiman,Bono East,2025-04-07,Direct,Web Desktop,False,Silver,16549.68,1
CUST004167,kofi agyeman,kofi.agyeman55@yahoo.com,Male,1999-06-13,Accra,Greater Accra,13/04/2026,,Web Desktop,FALSE,Bronze,"GHS 12,628.59",2
CUST009234,Patience Amoah,patience.amoah735@yahoo.com,Female,1989-10-28,Accra,Greater Accra,2025-11-04,Organic Search,Android,True,Bronze,"GHS 4,609.49",3
CUST019786,Michael Boateng,michael.boateng738@gmail.com,Male,1993-03-14,Sunyani,Bono,2026-02-06,Email Campaign,Web Mobile,True,Silver,,4
CUST004895,Abena Ofori,abena.ofori276@gmail.com,Female,2010-01-23,BOLGATANGA,Upper East,2025-05-12,Referral,Android,True,Silver,31171.98,2
CUST010578,Sena Tetteh,sena.tetteh189@outlook.com,Male,25/02/2007,Takoradi,Western,23/12/2025,Marketplace,Web Desktop,True,,-999,1
CUST014707,Yayra Yeboah,yayra.yeboah289@gmail.com,female,1996-10-10,Obuasi,Ashanti,2025-08-16,Influencer,iOS,True,Platinum,10807.63,
